001  00416 |Loss: 0.527 | Acc: 82.600% 
001  00417 |Loss: 0.526 | Acc: 82.636% 
001  00418 |Loss: 0.525 | Acc: 82.665% 
001  00419 |Loss: 0.524 | Acc: 82.689% 
001  00420 |Loss: 0.524 | Acc: 82.716% 
001  00421 |Loss: 0.523 | Acc: 82.748% 
001  00422 |Loss: 0.522 | Acc: 82.774% 
001  00423 |Loss: 0.521 | Acc: 82.800% 
001  00424 |Loss: 0.520 | Acc: 82.833% 
001  00425 |Loss: 0.520 | Acc: 82.868% 
001  00426 |Loss: 0.519 | Acc: 82.901% 
001  00427 |Loss: 0.518 | Acc: 82.920% 
001  00428 |Loss: 0.517 | Acc: 82.955% 
001  00429 |Loss: 0.516 | Acc: 82.980% 
001  00430 |Loss: 0.515 | Acc: 83.012% 
001  00431 |Loss: 0.514 | Acc: 83.037% 
001  00432 |Loss: 0.513 | Acc: 83.073% 
001  00433 |Loss: 0.513 | Acc: 83.099% 
001  00434 |Loss: 0.512 | Acc: 83.124% 
001  00435 |Loss: 0.511 | Acc: 83.157% 
001  00436 |Loss: 0.510 | Acc: 83.187% 
001  00437 |Loss: 0.509 | Acc: 83.215% 
001  00438 |Loss: 0.508 | Acc: 83.241% 
001  00439 |Loss: 0.508 | Acc: 83.268% 
001  00440 |Loss: 0.507 | Acc: 83.295% 
001  00441 |Loss: 0.506 | Acc: 83.319% 
001  00442 |Loss: 0.505 | Acc: 83.346% 
001  00443 |Loss: 0.505 | Acc: 83.373% 
001  00444 |Loss: 0.504 | Acc: 83.400% 
001  00445 |Loss: 0.503 | Acc: 83.429% 
001  00446 |Loss: 0.502 | Acc: 83.461% 
001  00447 |Loss: 0.501 | Acc: 83.485% 
001  00448 |Loss: 0.500 | Acc: 83.517% 
001  00449 |Loss: 0.499 | Acc: 83.538% 
001  00450 |Loss: 0.499 | Acc: 83.557% 
001  00451 |Loss: 0.498 | Acc: 83.582% 
001  00452 |Loss: 0.498 | Acc: 83.601% 
001  00453 |Loss: 0.497 | Acc: 83.628% 
001  00454 |Loss: 0.496 | Acc: 83.651% 
001  00455 |Loss: 0.495 | Acc: 83.673% 
001  00456 |Loss: 0.495 | Acc: 83.703% 
001  00457 |Loss: 0.494 | Acc: 83.732% 
001  00458 |Loss: 0.493 | Acc: 83.756% 
001  00459 |Loss: 0.492 | Acc: 83.779% 
001  00460 |Loss: 0.492 | Acc: 83.808% 
001  00461 |Loss: 0.491 | Acc: 83.828% 
001  00462 |Loss: 0.490 | Acc: 83.858% 
001  00463 |Loss: 0.489 | Acc: 83.887% 
001  00464 |Loss: 0.488 | Acc: 83.915% 
001  00465 |Loss: 0.488 | Acc: 83.938% 
001  00466 |Loss: 0.487 | Acc: 83.961% 
001  00467 |Loss: 0.486 | Acc: 83.990% 
001  00468 |Loss: 0.486 | Acc: 84.016% 
001  00469 |Loss: 0.485 | Acc: 84.040% 
002  00470 |Loss: 0.087 | Acc: 96.094% 
002  00471 |Loss: 0.080 | Acc: 96.484% 
002  00472 |Loss: 0.082 | Acc: 96.875% 
002  00473 |Loss: 0.099 | Acc: 96.875% 
002  00474 |Loss: 0.122 | Acc: 96.406% 
002  00475 |Loss: 0.129 | Acc: 96.484% 
002  00476 |Loss: 0.125 | Acc: 96.652% 
002  00477 |Loss: 0.131 | Acc: 96.582% 
002  00478 |Loss: 0.121 | Acc: 96.962% 
002  00479 |Loss: 0.129 | Acc: 96.562% 
002  00480 |Loss: 0.132 | Acc: 96.520% 
002  00481 |Loss: 0.132 | Acc: 96.419% 
002  00482 |Loss: 0.130 | Acc: 96.514% 
002  00483 |Loss: 0.133 | Acc: 96.484% 
002  00484 |Loss: 0.137 | Acc: 96.406% 
002  00485 |Loss: 0.139 | Acc: 96.289% 
002  00486 |Loss: 0.136 | Acc: 96.369% 
002  00487 |Loss: 0.139 | Acc: 96.311% 
002  00488 |Loss: 0.140 | Acc: 96.299% 
002  00489 |Loss: 0.137 | Acc: 96.406% 
002  00490 |Loss: 0.137 | Acc: 96.280% 
002  00491 |Loss: 0.136 | Acc: 96.271% 
002  00492 |Loss: 0.133 | Acc: 96.332% 
002  00493 |Loss: 0.133 | Acc: 96.322% 
